node,betweeness_centrality,node_type
tet(W/N/W),0.001015053377744898,resistance_gene
tetR,0.0010149240738265457,resistance_gene
tet(K),0.0010146974429671215,resistance_gene
tet(45),0.0010146791657912994,resistance_gene
tet(38),0.001014665769886993,resistance_gene
tet(A),0.001014655272323572,resistance_gene
tet(D),0.001014655272323572,resistance_gene
tet(B),0.001014652608096105,resistance_gene
tet(Y),0.0010146513883267975,resistance_gene
emrK,0.0010146488661446054,resistance_gene
tet(59),0.0010146488661446054,resistance_gene
emrY,0.0010146488661446054,resistance_gene
tet(39),0.001014648724099331,resistance_gene
tet(H),0.001014648724099331,resistance_gene
tet(X6),0.0010145119470766758,resistance_gene
tet(X5),0.0010145101916733401,resistance_gene
SFRP4,0.0010120877884374393,gene/protein
myopathy and diabetes mellitus,0.001005214057270263,disease
CCDC92,0.000994897433259338,gene/protein
STAT3,0.0009902970102203424,gene/protein
RIPK1,0.0009558588776946385,gene/protein
GLI1,0.0009446629783176055,gene/protein
TAF1,0.0009381308498983687,gene/protein
HPX,0.0009259116594739957,gene/protein
glycopeptide,0.0009235083663191667,drug_class
JADE2,0.000902596172237647,gene/protein
ZC3HC1,0.0008996120959810523,gene/protein
TNFRSF1B,0.0008891693510700517,gene/protein
TCF4,0.000879955692134407,gene/protein
TIMP1,0.0008773972739464463,gene/protein
ABCD3,0.0008722542192214724,gene/protein
S100A6,0.0008704940589411657,gene/protein
HNF1B,0.0008550459825206804,gene/protein
NFATC2,0.0008479985983575961,gene/protein
REST,0.0008419091883978713,gene/protein
USP27X,0.0008382522443039025,gene/protein
MAPK6,0.0008352972552873411,gene/protein
PCNT,0.0008340642823298593,gene/protein
PAM,0.0008175446711765225,gene/protein
MAPK10,0.0008121361885626662,gene/protein
PDX1,0.0008069467567388745,gene/protein
GLP1R,0.0008049674325577871,gene/protein
GRB2,0.0007841809663352214,gene/protein
cephamycin,0.0007841433385175864,drug_class
HK1,0.0007819912458851733,gene/protein
MAPT,0.0007723588240196898,gene/protein
PLEKHA1,0.0007674168486106799,gene/protein
HHEX,0.0007672045875542533,gene/protein
craniopharyngioma,0.0007454890551320811,disease
ITGA1,0.0007353910669463261,gene/protein
LRP2,0.0007325409635906437,gene/protein
KSR2,0.0007111465384987575,gene/protein
maternally-inherited diabetes and deafness,0.0007030332813440452,disease
MOK,0.0006996010637620482,gene/protein
RELB,0.0006957505846759656,gene/protein
ST6GAL1,0.0006910695849283234,gene/protein
sideroblastic anemia,0.0006821979511210443,disease
SLC1A2,0.000676367577143573,gene/protein
OGG1,0.0006756025216809236,gene/protein
Kennedy disease,0.0006720693822948556,disease
DGKD,0.0006713438379782,gene/protein
EPC2,0.0006713429838947768,gene/protein
AUTS2,0.0006699056338324365,gene/protein
KCNJ11,0.0006619111873474515,gene/protein
MDM2,0.00064426860338539,gene/protein
ALOX5,0.0006316724296650535,gene/protein
ENPP1,0.0006252726398425611,gene/protein
HSPA5,0.0006036336210230683,gene/protein
CNKSR2,0.0005941910318717305,gene/protein
HP,0.0005923619924002046,gene/protein
MRAS,0.0005896741469307874,gene/protein
CCL2,0.0005710130938929184,gene/protein
SLC22A3,0.000567097645107929,gene/protein
GLIS3,0.0005628347418909195,gene/protein
CDKAL1,0.0005604115211437808,gene/protein
FGF21,0.0005573249648596415,gene/protein
DNA ligase IV deficiency,0.0005473122768299898,disease
LEPR,0.0005454922983760065,gene/protein
MAPK7,0.0005451021599011878,gene/protein
IGF2BP2,0.0005427405702080152,gene/protein
VWA3B,0.0005382953507737879,gene/protein
NCK1,0.000536630548981547,gene/protein
ABCB11,0.0005344567044321053,gene/protein
MID2,0.0005289689778932805,gene/protein
Peripheral neuropathy,0.0004910108822969243,effect/phenotype
CERKL,0.0004781084379448645,gene/protein
HSPA4,0.0004778394439950629,gene/protein
ABCC8,0.0004686142382882157,gene/protein
PRPF6,0.00044846507490201384,gene/protein
PIK3CD,0.0004480534656769493,gene/protein
SLC2A4,0.0004410867351244731,gene/protein
HIF1A,0.00043971700811473,gene/protein
GNAI2,0.00043012343121245575,gene/protein
phosphonic acid,0.0004286580926690059,drug_class
SPI1,0.0004264771720648234,gene/protein
RNF2,0.00042579865107013527,gene/protein
PAX4,0.0004250948018185036,gene/protein
VIM,0.00042294821752029505,gene/protein
RETN,0.00041752280831934313,gene/protein
TRAF4,0.0004156517521759232,gene/protein
XRCC4,0.0004045521489888317,gene/protein
GNAI3,0.00040059867854923313,gene/protein
SMAD3,0.0003966379770949426,gene/protein
ABCB1,0.00039601389817412456,gene/protein
ITLN1,0.00039387476347253015,gene/protein
SH3KBP1,0.0003884692804100925,gene/protein
JAZF1,0.0003864461026597907,gene/protein
PTGS2,0.0003863678098372366,gene/protein
NFE2L2,0.0003863346450657406,gene/protein
MAPK3,0.00038121090364516113,gene/protein
RPS6KA3,0.0003687830687630878,gene/protein
melioidosis,0.00036706222415255603,disease
SCTR,0.0003618790025618689,gene/protein
PIN1,0.00036053516605736625,gene/protein
GPM6B,0.000359715432436041,gene/protein
AP3S2,0.00035732186823392737,gene/protein
SGK1,0.00034614777382219837,gene/protein
REL,0.000342839200518617,gene/protein
PPARD,0.00034039648788870147,gene/protein
FLNA,0.0003389369301813664,gene/protein
PRKAA1,0.0003358191407084524,gene/protein
JUN,0.0003305028564345575,gene/protein
YBX1,0.0003301157100894014,gene/protein
monobactam,0.0003194260385480366,drug_class
SUMO2,0.00031880167951999866,gene/protein
MLH1,0.00031854001470582854,gene/protein
diaminopyrimidine,0.00031116357048905995,drug_class
GATA3,0.0003074552703381658,gene/protein
YWHAB,0.0003036784842325835,gene/protein
disinfecting agents and antiseptics,0.00029892869591583907,drug_class
CAPN10,0.00029313288200851097,gene/protein
UBE3A,0.0002869736378180934,gene/protein
KL,0.0002836926566908598,gene/protein
CMIP,0.00028024646976341453,gene/protein
ATF6,0.00027995580826598677,gene/protein
GRB14,0.0002790584225815671,gene/protein
MPO,0.00027764917136433715,gene/protein
MTOR,0.00027543152417125753,gene/protein
isoniazid-like,0.00027541137749400674,drug_class
CDKN1A,0.0002741056994588999,gene/protein
PKM,0.0002730849694127814,gene/protein
MYC,0.0002703000518988816,gene/protein
PIK3R1,0.00027026038073664835,gene/protein
FGFR1,0.00026882244583271774,gene/protein
GCKR,0.0002661750780640856,gene/protein
MIR203A,0.0002643717315183505,gene/protein
GNA12,0.0002616267544009494,gene/protein
GNAQ,0.0002616267544009494,gene/protein
IL13RA1,0.000261521127520002,gene/protein
CTNND1,0.0002551171127015924,gene/protein
BCL2L13,0.0002480391352280319,gene/protein
PLS3,0.00024499508106151077,gene/protein
penem,0.00024440092280035754,drug_class
PKP2,0.00024142164858985174,gene/protein
PRKAR1A,0.00024106157827100388,gene/protein
aminocoumarin,0.00024072816108289705,drug_class
PSEN1,0.00023961147527188942,gene/protein
PRKDC,0.00023450849604926563,gene/protein
KIAA1549,0.00023387239120270913,gene/protein
CDH13,0.00023265579327934219,gene/protein
SMAD4,0.00023113311314372552,gene/protein
CTCF,0.00023026627574585735,gene/protein
SLC2A2,0.00022767751070654725,gene/protein
EP300,0.00022079801650492023,gene/protein
ECE1,0.00021986183091858862,gene/protein
ATF3,0.00021958660602981617,gene/protein
ZFAND3,0.0002188605595383962,gene/protein
STAT2,0.0002186260752425158,gene/protein
SOCS2,0.00021707849692508268,gene/protein
NR2E3,0.00021607086639419378,gene/protein
ZBTB5,0.00021456549644821465,gene/protein
MIR27A,0.00021270391542327601,gene/protein
TSC1,0.00020790992014546508,gene/protein
STX1A,0.00020696386848831098,gene/protein
MIR126,0.00020661667410161883,gene/protein
KPNA2,0.00020582297463680535,gene/protein
SOCS3,0.00020175764264163007,gene/protein
PTPN6,0.0002003963127809166,gene/protein
UBA1,0.00019934947437292335,gene/protein
PRKACA,0.00019817277135136704,gene/protein
sul2,0.0001964221549662073,resistance_gene
sul1,0.0001964221549662073,resistance_gene
sul3,0.00019641787738068018,resistance_gene
LptD,0.0001963434386012807,resistance_gene
Escherichia coli folP with mutation conferring resistance to sulfonamides,0.00019603504606973776,resistance_gene
Mycobacterium tuberculosis rpoB mutants conferring resistance to rifampicin,0.0001958855079476262,resistance_gene
Staphylococcus aureus rpoB mutants conferring resistance to rifampicin,0.0001958011321166758,resistance_gene
Escherichia coli rpoB mutants conferring resistance to rifampicin,0.00019578635696772644,resistance_gene
CPT1A,0.00019125940715369492,gene/protein
UBE2A,0.00018908858957469594,gene/protein
IRAK1,0.00018908858957469594,gene/protein
FOS,0.0001883533652795535,gene/protein
HSPD1,0.0001871759442462561,gene/protein
SRC,0.00018354618723460204,gene/protein
autoimmune polyendocrine,0.00018315889686566688,disease
RAD51,0.0001816337867829937,gene/protein
SNAI1,0.00018086752539256303,gene/protein
SMAD2,0.0001766196651189956,gene/protein
KPNB1,0.00017273106198915222,gene/protein
PCSK2,0.0001724849675786735,gene/protein
MYO9A,0.00016669711132858583,gene/protein
Klebsiella pneumoniae KpnH,0.0001664352728121486,resistance_gene
Klebsiella pneumoniae KpnG,0.00016643351740881312,resistance_gene
