node,betweeness_centrality,node_type
sideroblastic anemia,9.095688186931267e-05,disease
E2F4,8.947664318828744e-05,gene/protein
PAX4,8.946718530741355e-05,gene/protein
GNAI2,8.943700229541164e-05,gene/protein
STX1A,8.92993901091624e-05,gene/protein
IRF7,8.658293983206769e-05,gene/protein
DNA ligase IV deficiency,8.615175902359801e-05,disease
BTRC,8.499228114376386e-05,gene/protein
PRKAA1,8.49273753030711e-05,gene/protein
PSME2,8.40837154459818e-05,gene/protein
CAT,8.265673835285633e-05,gene/protein
osteomyelitis (disease),8.225550940365289e-05,disease
PHF8,8.174096758260193e-05,gene/protein
CASK,8.174096758260193e-05,gene/protein
RETN,8.153241361735538e-05,gene/protein
PIM1,8.118301342587753e-05,gene/protein
RBM4,8.054918838671986e-05,gene/protein
tuberculosis,8.024453094902712e-05,disease
HBA1,7.900566754359567e-05,gene/protein
PPP2CA,7.88752050793003e-05,gene/protein
ZNF263,7.868842001540412e-05,gene/protein
LYL1,7.8664356868786e-05,gene/protein
PDX1,7.849053316316133e-05,gene/protein
MAPK6,7.748822377625152e-05,gene/protein
PML,7.743837244363923e-05,gene/protein
BCL10,7.679854168665031e-05,gene/protein
GATA3,7.673256667442715e-05,gene/protein
TSC1,7.654316865730606e-05,gene/protein
periodontitis,7.640126752459856e-05,disease
AKT2,7.560566984653206e-05,gene/protein
AP3S2,7.508083907108199e-05,gene/protein
OGG1,7.405113141160072e-05,gene/protein
NR2E3,7.392089042759725e-05,gene/protein
SLC2A4,7.348073690125411e-05,gene/protein
ENPP1,7.33220193792091e-05,gene/protein
ARHGEF6,7.325344493106532e-05,gene/protein
HSPE1,7.302231935620787e-05,gene/protein
CYP1A2,7.258900746218234e-05,gene/protein
MAP3K5,7.083461125415327e-05,gene/protein
KIAA1549,7.053295475498767e-05,gene/protein
PLEKHA1,6.953971317585149e-05,gene/protein
CCDC92,6.945505304060138e-05,gene/protein
PIK3R1,6.917346684096458e-05,gene/protein
MIR126,6.914929049753355e-05,gene/protein
TBP,6.913721543679546e-05,gene/protein
REL,6.905094696641586e-05,gene/protein
MRAS,6.905052872383554e-05,gene/protein
SUMO1,6.800691435486416e-05,gene/protein
RIPK1,6.763912263080168e-05,gene/protein
TRAF6,6.741290051625823e-05,gene/protein
pneumonia,6.672133501397107e-05,disease
ST6GAL1,6.665677889936008e-05,gene/protein
FGF21,6.656040934372832e-05,gene/protein
MAPK14,6.538839788096725e-05,gene/protein
PPARD,6.471406722584794e-05,gene/protein
TRIM28,6.444775928984914e-05,gene/protein
FLOT1,6.437898904324582e-05,gene/protein
NEDD4,6.30409635406737e-05,gene/protein
ITGB1,6.266358660486418e-05,gene/protein
urinary tract infection (disease),6.207801285523456e-05,disease
UBA1,6.180507143416165e-05,gene/protein
narcolepsy,6.102197763149224e-05,disease
XRCC1,6.0974620862705725e-05,gene/protein
IFNGR2,6.034255629055123e-05,gene/protein
CDO1,6.025689699536333e-05,gene/protein
TNIK,5.9689979294749016e-05,gene/protein
PCMT1,5.903142216210408e-05,gene/protein
HLA-DRB5,5.8753246960307176e-05,gene/protein
HNRNPD,5.8655254193097215e-05,gene/protein
KPNB1,5.821094242335369e-05,gene/protein
RUBCN,5.7790790454392114e-05,gene/protein
APEX2,5.765717921881433e-05,gene/protein
PKM,5.7587802135705415e-05,gene/protein
ABCC8,5.73610460460916e-05,gene/protein
TRIM37,5.6298597782776955e-05,gene/protein
GLIS3,5.598451890877766e-05,gene/protein
PMPCA,5.548845184632244e-05,gene/protein
WWOX,5.548845184632244e-05,gene/protein
CAPN10,5.5147594325937855e-05,gene/protein
IQGAP1,5.5062787791361865e-05,gene/protein
Hyperglycemia,5.500890031483565e-05,effect/phenotype
MAPK11,5.430521702283953e-05,gene/protein
TRAF4,5.416655862045947e-05,gene/protein
SLC22A3,5.368425509045378e-05,gene/protein
SCTR,5.321208634279533e-05,gene/protein
XRCC4,5.2695223251832436e-05,gene/protein
folliculitis,5.268549420563075e-05,disease
NCK1,5.260258305982323e-05,gene/protein
CEBPB,5.2338675005743526e-05,gene/protein
HMGB1,5.223203581472377e-05,gene/protein
GNAS,5.1997765553600165e-05,gene/protein
PRDX3,5.13296319681085e-05,gene/protein
ZBTB5,5.07871115852145e-05,gene/protein
PSTPIP1,5.0745352848011717e-05,gene/protein
IL13RA1,4.941894906701029e-05,gene/protein
YWHAG,4.8603083646006824e-05,gene/protein
HBG2,4.834194854895317e-05,gene/protein
NEK2,4.7912513339713454e-05,gene/protein
GNAI3,4.770623870176467e-05,gene/protein
IFT140,4.738224256777234e-05,gene/protein
AHI1,4.738224256777234e-05,gene/protein
UBXN7,4.650799809005695e-05,gene/protein
FGFR1,4.579968734257423e-05,gene/protein
PSMD2,4.579220116338171e-05,gene/protein
PTPN6,4.527543556855272e-05,gene/protein
PPM1A,4.5073116737735154e-05,gene/protein
GNB1,4.49993363200781e-05,gene/protein
EDNRA,4.4580550541556655e-05,gene/protein
PCSK2,4.446846765444587e-05,gene/protein
LDHA,4.423461350443495e-05,gene/protein
GATA1,4.385998831035866e-05,gene/protein
RELB,4.374129924032823e-05,gene/protein
ZFAND3,4.350775049895072e-05,gene/protein
MTOR,4.337018302696845e-05,gene/protein
RBBP6,4.328783010548896e-05,gene/protein
YWHAZ,4.3229172568503035e-05,gene/protein
PSEN1,4.2368464963619695e-05,gene/protein
ATP2A2,4.228292352758919e-05,gene/protein
MAPT,4.216080992253419e-05,gene/protein
IL7R,4.190338923393769e-05,gene/protein
Penetrating foot ulcers,4.176023745472596e-05,disease
